Performance in MLUPS: 34.090769059297486
         8644773 function calls (8567363 primitive calls) in 49.019 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10183    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000002F8FCE85C10}
      413    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2452    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
        2    0.001    0.001    0.001    0.001 E:\BaoFile\lettuce-master\lettuce\unit.py:102(convert_length_to_lu)
     2955    0.001    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\re.py:188(match)
     1212    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
      606    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:478(addHeader)
       31    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    86/38    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\sre_parse.py:493(_parse)
     1271    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otConverters.py:139(__init__)
      934    0.001    0.000    0.001    0.000 {method 'compress' of 'zlib.Compress' objects}
    390/4    0.001    0.000    0.198    0.049 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
     5025    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      143    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      115    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      115    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     9714    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     5025    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\abc.py:117(__instancecheck__)
      610    0.001    0.000    0.068    0.000 <__array_function__ internals>:2(ravel)
        2    0.001    0.001    0.035    0.017 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\image.py:310(_make_image)
     2283    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1122(_expand_aliases)
      104    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\ntpath.py:450(normpath)
      249    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backend_bases.py:735(__init__)
     5393    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       12    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      588    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1730(<dictcomp>)
     1152    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1783(__init__)
        2    0.001    0.000    0.009    0.005 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\colors.py:589(__call__)
  342/242    0.001    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
      606    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:57(writeBlockSize)
     8989    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      667    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1900(__init__)
       64    0.001    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:276(__init__)
     6399    0.001    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      112    0.001    0.000    0.047    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:872(get_window_extent)
      610    0.001    0.000    0.066    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\fromnumeric.py:1718(ravel)
  920/290    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
       32    0.001    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
      176    0.001    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:658(__init__)
      334    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:767(__init__)
      108    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\lib\stride_tricks.py:339(_broadcast_to)
        1    0.001    0.001    0.001    0.001 {method 'getcolors' of 'ImagingCore' objects}
  963/961    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:276(process)
      101    0.001    0.000    2.712    0.027 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:80(_appendDataToFile)
      388    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
      314    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      579    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        1    0.001    0.001    1.440    1.440 E:\BaoFile\lettuce-master\lettuce\simulation.py:27(__init__)
      145    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:149(__init__)
      227    0.001    0.000    0.038    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
       11    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
        1    0.001    0.001    0.001    0.001 E:\BaoFile\lettuce-master\lettuce\flows\obstacle.py:67(initial_solution)
     1550    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      101    0.001    0.000    0.035    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:260(__init__)
      101    0.001    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:44(_addDataToFile)
      314    0.001    0.000    0.094    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:57(convert_to_numpy)
     3137    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     6466    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1349    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
    120/6    0.001    0.000    0.144    0.024 <frozen importlib._bootstrap>:1002(_find_and_load)
      315    0.001    0.000    0.001    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
       56    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
     2295    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\logging\__init__.py:1424(debug)
     1757    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:107(__init__)
1728/1472    0.001    0.000    0.009    0.000 {built-in method builtins.next}
     2520    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1799(_str_equal)
       31    0.001    0.000    0.012    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:2318(draw_text)
      369    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:207(set_children)
      230    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.001    0.001    0.001    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_agg.py:87(__init__)
       65    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\sre_compile.py:276(_optimize_charset)
        2    0.001    0.000    0.003    0.001 E:\BaoFile\lettuce-master\lettuce\util.py:36(torch_gradient)
     5680    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:832(get_animated)
        2    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1403(_get_font)
       16    0.001    0.000    0.035    0.002 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\axis.py:1040(_update_ticks)
      117    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      259    0.001    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:162(update)
      671    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\colors.py:152(to_rgba)
