Performance in MLUPS: 38.56460200085427
         13472138 function calls (13394326 primitive calls) in 85.614 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      606    0.002    0.000    0.011    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:520(addData)
      474    0.002    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:1046(update)
      144    0.002    0.000    0.038    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:671(draw)
      905    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:710(__hash__)
        2    0.002    0.001    0.002    0.001 E:\BaoFile\lettuce-master\lettuce\unit.py:102(convert_length_to_lu)
    10016    0.002    0.000    0.002    0.000 {built-in method torch._C._has_torch_function_unary}
        2    0.002    0.001    0.017    0.009 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\colors.py:589(__call__)
      108    0.002    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:2580(delta)
      259    0.002    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otConverters.py:29(buildConverters)
      701    0.002    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:99(fill)
      101    0.002    0.000    5.712    0.057 E:\BaoFile\lettuce-master\lettuce\reporters.py:31(write_vtk)
      101    0.002    0.000    5.710    0.057 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:187(gridToVTK)
        8    0.002    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:675(_icon)
      425    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
      139    0.002    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:647(recache)
     1212    0.002    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:57(openElement)
     1280    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
     3945    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     1241    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1783(__init__)
     1212    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:67(closeElement)
        1    0.001    0.001    0.002    0.002 E:\BaoFile\lettuce-master\lettuce\flows\obstacle.py:67(initial_solution)
      125    0.001    0.000    0.002    0.000 {built-in method matplotlib._path.convert_to_string}
     1226    0.001    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
        1    0.001    0.001    1.498    1.498 E:\BaoFile\lettuce-master\lettuce\simulation.py:27(__init__)
     3073    0.001    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\re.py:289(_compile)
    438/4    0.001    0.000    0.277    0.069 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
    10738    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000002432B3B49D0}
     3037    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\re.py:188(match)
     2452    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
     1212    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
    86/38    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\sre_parse.py:493(_parse)
      606    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:478(addHeader)
       35    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.001    0.001    0.001    0.001 {method 'getcolors' of 'ImagingCore' objects}
     1045    0.001    0.000    0.001    0.000 {method 'compress' of 'zlib.Compress' objects}
        1    0.001    0.001    0.012    0.012 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otTables.py:1804(_buildClasses)
     1271    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otConverters.py:139(__init__)
     5048    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\abc.py:117(__instancecheck__)
     5048    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      281    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backend_bases.py:735(__init__)
      143    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     9841    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      610    0.001    0.000    0.243    0.000 <__array_function__ internals>:2(ravel)
      629    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1730(<dictcomp>)
      115    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      729    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1900(__init__)
      104    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\ntpath.py:450(normpath)
      606    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:57(writeBlockSize)
      128    0.001    0.000    0.051    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:872(get_window_extent)
     5413    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     2283    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1122(_expand_aliases)
  366/266    0.001    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
      610    0.001    0.000    0.241    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\fromnumeric.py:1718(ravel)
      124    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\lib\stride_tricks.py:339(_broadcast_to)
     9208    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      358    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:767(__init__)
       67    0.001    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:276(__init__)
  956/312    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
      115    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.001    0.001    0.003    0.003 E:\BaoFile\lettuce-master\lettuce\flows\obstacle.py:83(boundaries)
      101    0.001    0.000    5.619    0.056 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:80(_appendDataToFile)
      314    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      643    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      740    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\contextlib.py:86(__init__)
     6401    0.001    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      182    0.001    0.000    0.034    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:658(__init__)
      428    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
      255    0.001    0.000    0.039    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
       32    0.001    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
1013/1011    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:276(process)
      101    0.001    0.000    0.048    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:260(__init__)
      151    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:149(__init__)
      314    0.001    0.000    0.227    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:57(convert_to_numpy)
     1888    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:107(__init__)
     1551    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      315    0.001    0.000    0.001    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        1    0.001    0.001    0.001    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\linalg\linalg.py:2363(norm)
     1423    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
       35    0.001    0.000    0.013    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:2318(draw_text)
       11    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
     3137    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      101    0.001    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:44(_addDataToFile)
      393    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:207(set_children)
1835/1547    0.001    0.000    0.010    0.000 {built-in method builtins.next}
     6079    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:832(get_animated)
     2295    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\logging\__init__.py:1424(debug)
       55    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
     2546    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1799(_str_equal)
    120/6    0.001    0.000    0.111    0.019 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.001    0.001    0.001    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_agg.py:87(__init__)
      279    0.001    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:162(update)
       16    0.001    0.000    0.068    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\axis.py:1040(_update_ticks)
      230    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     1055    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:563(write)
       35    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      496    0.001    0.000    0.010    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:839(output)
      748    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\colors.py:152(to_rgba)
     1193    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\enum.py:358(__call__)
        2    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1403(_get_font)
  740/668    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\contextlib.py:123(__exit__)
        2    0.001    0.000    0.008    0.004 E:\BaoFile\lettuce-master\lettuce\util.py:36(torch_gradient)
       65    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\sre_compile.py:276(_optimize_charset)
      120    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:637(translated)
        5    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
      117    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      597    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      111    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\ntpath.py:124(splitdrive)
       29    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.001    0.001    0.001    0.001 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       76    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\_api\__init__.py:280(warn_external)
